save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.37728881835938, trainAcc:87.74038461538461, record@242-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.010986328125, trainAcc:87.5, record@250-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.47618865966797, trainAcc:86.29807692307693, record@252-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.74359130859375, trainAcc:87.86057692307693, record@255-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.47618865966797, trainAcc:87.5, record@256-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.84249114990234, trainAcc:86.29807692307693, record@257-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.74359130859375, trainAcc:86.17788461538461, record@258-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.37728881835938, trainAcc:86.0576923076923, record@259-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.74359130859375, trainAcc:86.29807692307693, record@260-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.37728881835938, trainAcc:87.01923076923077, record@261-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.10989379882812, trainAcc:86.17788461538461, record@262-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.74359130859375, trainAcc:86.29807692307693, record@263-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.37728881835938, trainAcc:88.10096153846155, record@264-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.74359130859375, trainAcc:87.3798076923077, record@265-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.37728881835938, trainAcc:89.78365384615384, record@267-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.010986328125, trainAcc:87.74038461538461, record@269-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.10989379882812, trainAcc:86.29807692307693, record@272-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.10989379882812, trainAcc:87.13942307692307, record@273-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.37728881835938, trainAcc:86.89903846153845, record@275-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.47618865966797, trainAcc:87.13942307692307, record@276-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.37728881835938, trainAcc:87.01923076923077, record@278-epoch
